Order Number,Order Date,Year,Month,Month Number,Day of Week,Day Type,Season,Customer ID,Customer Name,Age Group,Gender,City,State,Membership Tier,Mall Name,Store Name,Product Category,Floor Level,Items Purchased,Unit Price ($),Subtotal ($),Discount (%),Discount Amount ($),Tax Rate (%),Tax Amount ($),Total Amount ($),Payment Method,Promo Used,Promo Code,Visit Purpose,Visit Duration (mins),Parking Type,Satisfaction Score,Returned Item,Return Reason,Online Review Posted,Loyalty Points Earned
ORD-2022-00001,8/17/2022,2022,August,8,Wednesday,Weekday,Summer,CUST23434,David Mitchell,55-64,Female,Houston,TX,Gold,Pinnacle Plaza,Mango,Fashion,1st,9,48.03,432.27,5,21.61,5.21,21.4,432.06,Debit Card,No,,Dining,144,Free,4,No,,No,912
ORD-2023-00002,11/23/2022,2022,November,11,Wednesday,Weekday,Fall,CUST54118,Susan Carter,35-44,Female,Chicago,IL,Bronze,The Royal Galleria,Kay Jewelers,Jewelry,2nd,7,52.87,370.09,20,74.02,9.23,27.33,323.4,Credit Card,No,,Leisure,132,Paid,4,No,,No,1438
ORD-2024-00003,4/4/2022,2022,April,4,Monday,Weekday,Spring,CUST59823,Joseph Miller,65+,Female,Los Angeles,CA,Bronze,The Royal Galleria,Skechers,Sports,Ground,11,417.88,4596.68,0,0,7.49,344.29,4940.97,Buy Now Pay Later,No,,Entertainment,194,Paid,5,No,,Yes,12440
ORD-2022-00004,3/26/2023,2023,March,3,Sunday,Weekend,Spring,CUST62581,Robert Lee,35-44,Female,Columbus,OH,Bronze,Pinnacle Plaza,IKEA,Home & Living,2nd,4,457,1828,10,182.8,10.03,165.01,1810.21,Debit Card,No,,Leisure,142,Free,4,No,,No,3712
ORD-2023-00005,3/28/2024,2024,March,3,Thursday,Weekday,Spring,CUST16175,Ashley Garcia,35-44,Male,Dallas,TX,Platinum,Blue Harbor Center,Pottery Barn,Home & Living,2nd,3,315.59,946.77,20,189.35,7.96,60.29,817.71,Credit Card,Yes,PROMO666,Window Shopping,112,Free,4,No,,No,3047
ORD-2024-00006,11/28/2023,2023,November,11,Tuesday,Weekday,Fall,CUST44522,Sandra Smith,18-24,Male,Chicago,IL,Diamond,Eastgate Mall,Microsoft Store,Electronics,2nd,3,256.3,768.9,0,0,9.38,72.12,841.02,Buy Now Pay Later,Yes,PROMO897,Gift Buying,170,Valet,3,No,,No,2484
ORD-2022-00007,9/22/2023,2023,September,9,Friday,Weekday,Fall,CUST21226,Kenneth Garcia,45-54,Male,Charlotte,NC,Gold,Pinnacle Plaza,Nike,Sports,3rd,2,489.1,978.2,10,97.82,5.88,51.77,932.15,Buy Now Pay Later,No,,Window Shopping,155,Valet,3,No,,No,3504
ORD-2023-00008,2/4/2024,2024,February,2,Sunday,Weekend,Winter,CUST18392,Jessica Anderson,18-24,Non-binary,Los Angeles,CA,Silver,Lakewood Center,Virtual Reality Zone,Entertainment,2nd,10,279.19,2791.9,10,279.19,5.05,126.89,2639.6,Buy Now Pay Later,No,,Leisure,30,Free,3,No,,Yes,4901
ORD-2024-00009,8/26/2024,2024,August,8,Monday,Weekday,Summer,CUST22363,Mark Gonzalez,18-24,Male,Fort Worth,TX,Bronze,Lakewood Center,Skechers,Sports,Ground,7,180.38,1262.66,5,63.13,11.05,132.55,1332.08,Credit Card,No,,Leisure,182,Free,5,Yes,Wrong item,No,4189
ORD-2022-00010,8/5/2024,2024,August,8,Monday,Weekday,Summer,CUST16630,Donna Miller,45-54,Female,San Diego,CA,Gold,Sunrise Mall,Skechers,Sports,Food Court,9,418.83,3769.47,30,1130.84,11.48,302.91,2941.54,Debit Card,No,,Dining,119,Free,4,No,,Yes,6061
ORD-2023-00011,5/16/2024,2024,May,5,Thursday,Weekday,Spring,CUST17665,Charles Wilson,65+,Female,Houston,TX,Gold,Blue Harbor Center,The Children's Place,Kids,3rd,9,35.17,316.53,5,15.83,5.35,16.09,316.79,Mobile Pay,Yes,PROMO290,Gift Buying,233,Free,4,Yes,,Yes,828
ORD-2024-00012,3/23/2022,2022,March,3,Wednesday,Weekday,Spring,CUST78522,Emily Torres,18-24,Female,Austin,TX,Silver,Eastgate Mall,Barnes & Noble,Books & Gifts,2nd,5,106.11,530.55,15,79.58,6.67,30.08,481.05,Mobile Pay,No,,Dining,186,Free,4,No,,No,1564
ORD-2022-00013,11/2/2024,2024,November,11,Saturday,Weekend,Fall,CUST58434,John Thomas,45-54,Male,Charlotte,NC,Bronze,Summit Crossing,MAC Cosmetics,Beauty,Ground,8,417.7,3341.6,15,501.24,9.28,263.59,3103.95,Buy Now Pay Later,No,,Gift Buying,17,Paid,5,No,,Yes,14150
ORD-2023-00014,8/1/2023,2023,August,8,Tuesday,Weekday,Summer,CUST44600,Amanda Green,18-24,Male,Houston,TX,Silver,Summit Crossing,Hallmark,Books & Gifts,2nd,5,453.14,2265.7,20,453.14,5.65,102.41,1914.97,Mobile Pay,No,,Entertainment,26,Paid,1,No,,No,5191
ORD-2024-00015,11/2/2022,2022,November,11,Wednesday,Weekday,Fall,CUST66333,Donna Martinez,55-64,Male,San Jose,CA,Bronze,Summit Crossing,Disney Store,Kids,Food Court,5,185.5,927.5,25,231.88,11.81,82.15,777.77,Credit Card,No,,Entertainment,68,Paid,5,No,,No,3109
ORD-2022-00016,11/29/2022,2022,November,11,Tuesday,Weekday,Fall,CUST63964,Deborah Perez,45-54,Male,Chicago,IL,Platinum,Westfield Grand,Cheesecake Factory,Food & Beverage,3rd,12,406.32,4875.84,0,0,10.51,512.45,5388.29,Credit Card,Yes,PROMO571,Window Shopping,238,Paid,2,No,,No,10192
ORD-2023-00017,7/25/2023,2023,July,7,Tuesday,Weekday,Summer,CUST99065,Paul Sanchez,18-24,Female,Austin,TX,Diamond,Summit Crossing,Microsoft Store,Electronics,1st,9,168.92,1520.28,0,0,11.14,169.36,1689.64,Cash,Yes,PROMO544,Dining,163,Paid,5,No,,No,8341
ORD-2024-00018,1/25/2023,2023,January,1,Wednesday,Weekday,Winter,CUST97900,Kimberly Wright,25-34,Female,New York,NY,Bronze,Eastgate Mall,Sephora,Beauty,2nd,7,39.64,277.48,15,41.62,7.31,17.24,253.1,Cash,No,,Leisure,232,Free,3,No,,No,814
ORD-2022-00019,2/16/2024,2024,February,2,Friday,Weekday,Winter,CUST47606,James Martin,25-34,Female,Dallas,TX,Bronze,Eastgate Mall,Pizza Hut,Food & Beverage,1st,10,305.3,3053,5,152.65,8.09,234.64,3134.99,Buy Now Pay Later,No,,Dining,145,Free,4,No,,Yes,11072
ORD-2023-00020,4/27/2023,2023,April,4,Thursday,Weekday,Spring,CUST42092,Mary Williams,55-64,Female,Chicago,IL,Diamond,Pinnacle Plaza,MAC Cosmetics,Beauty,3rd,10,425.62,4256.2,0,0,7.9,336.24,4592.44,Buy Now Pay Later,No,,Gift Buying,64,Paid,5,No,,Yes,20398
ORD-2024-00021,3/25/2023,2023,March,3,Saturday,Weekend,Spring,CUST69829,Jessica Davis,25-34,Male,Dallas,TX,Bronze,Westfield Grand,Panda Express,Food & Beverage,2nd,8,335.45,2683.6,30,805.08,9.17,172.26,2050.78,Mobile Pay,No,,Gift Buying,223,Paid,5,No,,No,5944
ORD-2022-00022,7/22/2023,2023,July,7,Saturday,Weekend,Summer,CUST47450,Donald Jones,25-34,Female,Phoenix,AZ,Bronze,Pinnacle Plaza,The Children's Place,Kids,Ground,6,163.26,979.56,10,97.96,5.97,52.63,934.23,Debit Card,No,,Window Shopping,192,Free,3,No,,No,4046
ORD-2023-00023,2/10/2022,2022,February,2,Thursday,Weekday,Winter,CUST61116,Matthew Martin,55-64,Prefer not to say,New York,NY,Platinum,Lakewood Center,Spencer's,Books & Gifts,2nd,7,271.42,1899.94,15,284.99,10.6,171.18,1786.13,Debit Card,No,,Window Shopping,71,Paid,4,No,,No,7791
ORD-2024-00024,12/29/2024,2024,December,12,Sunday,Weekend,Winter,CUST21003,Brian Johnson,18-24,Female,San Jose,CA,Gold,Southshore Pavilion,TopShop,Fashion,Ground,3,434.09,1302.27,0,0,6.82,88.81,1391.08,Cash,No,,Dining,131,Paid,4,No,,No,1846
ORD-2022-00025,12/18/2023,2023,December,12,Monday,Weekday,Winter,CUST14067,Carol Williams,18-24,Female,Fort Worth,TX,Diamond,Sunrise Mall,New Balance,Sports,2nd,4,420.42,1681.68,15,252.25,6.67,95.34,1524.77,Mobile Pay,No,,Leisure,44,Free,4,No,,No,6086
ORD-2023-00026,9/30/2023,2023,September,9,Saturday,Weekend,Fall,CUST61990,Amanda Harris,45-54,Male,San Jose,CA,Diamond,The Royal Galleria,Apple Store,Electronics,Ground,4,42.62,170.48,15,25.57,9.39,13.61,158.52,Credit Card,No,,Leisure,212,Paid,4,No,,No,496
